NodeName,Lat,Long,Bin,Radio_CQI_Distribution,Number_of_Users
1,133.7201,-84.1524,0,605.222229,248.1736145
2,133.7201,-84.1524,1,906.2222087,248.1736145
3,133.7201,-84.1524,2,7557.555501,248.1736145
4,133.7201,-84.1524,3,43046.55599,248.1736145
5,133.7201,-84.1524,4,134478.776,248.1736145
6,133.7201,-84.1524,5,258118.4479,248.1736145
7,133.7201,-84.1524,6,334375,248.1736145
8,133.7201,-84.1524,7,334032.2188,248.1736145
9,133.7201,-84.1524,8,352427.2135,248.1736145
10,133.7201,-84.1524,9,298520.224,248.1736145
11,133.7201,-84.1524,10,190607.0013,248.1736145
12,133.7201,-84.1524,11,163771.776,248.1736145
13,133.7201,-84.1524,12,106628.332,248.1736145
14,133.7201,-84.1524,13,56045.33268,248.1736145
15,133.7201,-84.1524,14,27092.66634,248.1736145
16,133.7201,-84.1524,15,24679.111,248.1736145
17,133.7028,-84.1071,0,1229.666641,306.6800976
18,133.7028,-84.1071,1,531.9444377,306.6800976
19,133.7028,-84.1071,2,2856.722198,306.6800976
20,133.7028,-84.1071,3,8728.499919,306.6800976
21,133.7028,-84.1071,4,28423.94432,306.6800976
22,133.7028,-84.1071,5,65212.38924,306.6800976
23,133.7028,-84.1071,6,95504.38818,306.6800976
24,133.7028,-84.1071,7,99605.50016,306.6800976
25,133.7028,-84.1071,8,107259.1113,306.6800976
26,133.7028,-84.1071,9,124159.0573,306.6800976
27,133.7028,-84.1071,10,112451.998,306.6800976
28,133.7028,-84.1071,11,133469.224,306.6800976
29,133.7028,-84.1071,12,129837.1084,306.6800976
30,133.7028,-84.1071,13,102729.8874,306.6800976
31,133.7028,-84.1071,14,69323.05599,306.6800976
32,133.7028,-84.1071,15,111669.557,306.6800976
33,133.7007,-84.1807,0,911.3888855,322.6578712
34,133.7007,-84.1807,1,835.0000153,322.6578712
35,133.7007,-84.1807,2,4599.444478,322.6578712
36,133.7007,-84.1807,3,17119.38932,322.6578712
37,133.7007,-84.1807,4,44982.61153,322.6578712
38,133.7007,-84.1807,5,91573.611,322.6578712
39,133.7007,-84.1807,6,121711.2217,322.6578712
40,133.7007,-84.1807,7,138382.5573,322.6578712
41,133.7007,-84.1807,8,158111.168,322.6578712
42,133.7007,-84.1807,9,156474.832,322.6578712
43,133.7007,-84.1807,10,121897.722,322.6578712
44,133.7007,-84.1807,11,132430.554,322.6578712
45,133.7007,-84.1807,12,107729.4443,322.6578712
46,133.7007,-84.1807,13,74069.77783,322.6578712
47,133.7007,-84.1807,14,48272.11161,322.6578712
48,133.7007,-84.1807,15,68466.05481,322.6578712
49,133.9635,-83.9755,0,1066.111125,275.7138901
50,133.9635,-83.9755,1,632.0555573,275.7138901
51,133.9635,-83.9755,2,3404.222229,275.7138901
52,133.9635,-83.9755,3,10640.61115,275.7138901
53,133.9635,-83.9755,4,30144.33407,275.7138901
54,133.9635,-83.9755,5,68646.94336,275.7138901
55,133.9635,-83.9755,6,99417.66536,275.7138901
56,133.9635,-83.9755,7,117864.6094,275.7138901
57,133.9635,-83.9755,8,139517.1081,275.7138901
58,133.9635,-83.9755,9,137800.4466,275.7138901
59,133.9635,-83.9755,10,114350.39,275.7138901
60,133.9635,-83.9755,11,104115.2227,275.7138901
61,133.9635,-83.9755,12,75638.77637,275.7138901
62,133.9635,-83.9755,13,47514.05534,275.7138901
63,133.9635,-83.9755,14,27499.4445,275.7138901
64,133.9635,-83.9755,15,31846.88818,275.7138901
65,133.48361,-84.215,0,2486.777776,352.2254543
66,133.48361,-84.215,1,1085.333313,352.2254543
67,133.48361,-84.215,2,6080.166697,352.2254543
68,133.48361,-84.215,3,15328.61131,352.2254543
69,133.48361,-84.215,4,40885.38953,352.2254543
70,133.48361,-84.215,5,89309.72217,352.2254543
71,133.48361,-84.215,6,133180.5573,352.2254543
72,133.48361,-84.215,7,164761.1686,352.2254543
73,133.48361,-84.215,8,197508.4414,352.2254543
74,133.48361,-84.215,9,195972.5039,352.2254543
75,133.48361,-84.215,10,148982.6113,352.2254543
76,133.48361,-84.215,11,140053.724,352.2254543
77,133.48361,-84.215,12,96039.38835,352.2254543
78,133.48361,-84.215,13,54539.66764,352.2254543
79,133.48361,-84.215,14,30267.94425,352.2254543
80,133.48361,-84.215,15,26159.38835,352.2254543
81,134.044858,-84.474643,0,1545.444438,295.606945
82,134.044858,-84.474643,1,826.9999975,295.606945
83,134.044858,-84.474643,2,4557.555644,295.606945
84,134.044858,-84.474643,3,15348.05549,295.606945
85,134.044858,-84.474643,4,34912.72282,295.606945
86,134.044858,-84.474643,5,74473.16536,295.606945
87,134.044858,-84.474643,6,109406.2793,295.606945
88,134.044858,-84.474643,7,126720.3906,295.606945
89,134.044858,-84.474643,8,151658.2207,295.606945
90,134.044858,-84.474643,9,150216.6683,295.606945
91,134.044858,-84.474643,10,114279.277,295.606945
92,134.044858,-84.474643,11,106342.0579,295.606945
93,134.044858,-84.474643,12,82231.61239,295.606945
94,134.044858,-84.474643,13,52699.22095,295.606945
95,134.044858,-84.474643,14,31772.66561,295.606945
96,134.044858,-84.474643,15,36369.00087,295.606945
97,134.1087,-84.565722,0,1072.388875,432.9032459
98,134.1087,-84.565722,1,609.6666692,432.9032459
99,134.1087,-84.565722,2,3715.611115,432.9032459
100,134.1087,-84.565722,3,14552.00026,432.9032459
101,134.1087,-84.565722,4,51731.44393,432.9032459
102,134.1087,-84.565722,5,134993.6654,432.9032459
103,134.1087,-84.565722,6,214588.4447,432.9032459
104,134.1087,-84.565722,7,240120.2826,432.9032459
105,134.1087,-84.565722,8,264373.1081,432.9032459
106,134.1087,-84.565722,9,244094.4414,432.9032459
107,134.1087,-84.565722,10,175759.166,432.9032459
108,134.1087,-84.565722,11,146254.7243,432.9032459
109,134.1087,-84.565722,12,99830.38981,432.9032459
110,134.1087,-84.565722,13,57350.77767,432.9032459
111,134.1087,-84.565722,14,30551.16689,432.9032459
112,134.1087,-84.565722,15,29853.27729,432.9032459
113,134.0666453,-84.4548662,0,2070.083328,294.5546341
114,134.0666453,-84.4548662,1,1297.833344,294.5546341
115,134.0666453,-84.4548662,2,6380.499817,294.5546341
116,134.0666453,-84.4548662,3,18608.24969,294.5546341
117,134.0666453,-84.4548662,4,50732.49927,294.5546341
118,134.0666453,-84.4548662,5,104563.3325,294.5546341
119,134.0666453,-84.4548662,6,159810.8359,294.5546341
120,134.0666453,-84.4548662,7,194714.3359,294.5546341
121,134.0666453,-84.4548662,8,221271.75,294.5546341
122,134.0666453,-84.4548662,9,214860.5801,294.5546341
123,134.0666453,-84.4548662,10,170857.2461,294.5546341
124,134.0666453,-84.4548662,11,158267.502,294.5546341
125,134.0666453,-84.4548662,12,125549.085,294.5546341
126,134.0666453,-84.4548662,13,79462.33301,294.5546341
127,134.0666453,-84.4548662,14,44198.00049,294.5546341
128,134.0666453,-84.4548662,15,54929.16724,294.5546341
129,133.98236,-84.565758,0,3143.00002,375.4087944
130,133.98236,-84.565758,1,2492.166738,375.4087944
131,133.98236,-84.565758,2,11537.94458,375.4087944
132,133.98236,-84.565758,3,22352.72221,375.4087944
133,133.98236,-84.565758,4,43377.00033,375.4087944
134,133.98236,-84.565758,5,71881.94466,375.4087944
135,133.98236,-84.565758,6,106715.9453,375.4087944
136,133.98236,-84.565758,7,130644.1647,375.4087944
137,133.98236,-84.565758,8,157154.6641,375.4087944
138,133.98236,-84.565758,9,168260.5573,375.4087944
139,133.98236,-84.565758,10,134574.6087,375.4087944
140,133.98236,-84.565758,11,139783.056,375.4087944
141,133.98236,-84.565758,12,119560.4984,375.4087944
142,133.98236,-84.565758,13,87392.94694,375.4087944
143,133.98236,-84.565758,14,59648.38949,375.4087944
144,133.98236,-84.565758,15,85336.33374,375.4087944
145,134.010502,-84.565918,0,1858.444489,412.9364076
146,134.010502,-84.565918,1,1477.277799,412.9364076
147,134.010502,-84.565918,2,9114.055359,412.9364076
148,134.010502,-84.565918,3,28854.55465,412.9364076
149,134.010502,-84.565918,4,71147.16496,412.9364076
150,134.010502,-84.565918,5,124140.001,412.9364076
151,134.010502,-84.565918,6,153863.9422,412.9364076
152,134.010502,-84.565918,7,154393.1702,412.9364076
153,134.010502,-84.565918,8,175772.833,412.9364076
154,134.010502,-84.565918,9,185107.5029,412.9364076
155,134.010502,-84.565918,10,153368.0029,412.9364076
156,134.010502,-84.565918,11,152086.6683,412.9364076
157,134.010502,-84.565918,12,123384.6087,412.9364076
158,134.010502,-84.565918,13,85447.10929,412.9364076
159,134.010502,-84.565918,14,55098.66602,412.9364076
160,134.010502,-84.565918,15,76112.83289,412.9364076
161,134.022356,-84.572705,0,7484.555583,440.9472237
162,134.022356,-84.572705,1,4994.666626,440.9472237
163,134.022356,-84.572705,2,28236.11157,440.9472237
164,134.022356,-84.572705,3,71228.33317,440.9472237
165,134.022356,-84.572705,4,154146.1657,440.9472237
166,134.022356,-84.572705,5,229873.5586,440.9472237
167,134.022356,-84.572705,6,251639.7201,440.9472237
168,134.022356,-84.572705,7,233622.0547,440.9472237
169,134.022356,-84.572705,8,225189.6712,440.9472237
170,134.022356,-84.572705,9,181754.6136,440.9472237
171,134.022356,-84.572705,10,114864.5568,440.9472237
172,134.022356,-84.572705,11,97800.00065,440.9472237
173,134.022356,-84.572705,12,66983.66777,440.9472237
174,134.022356,-84.572705,13,38055.44346,440.9472237
175,134.022356,-84.572705,14,21231.3329,440.9472237
176,134.022356,-84.572705,15,21668.83315,440.9472237
177,133.767255,-84.522202,0,1190.333328,226.4837971
178,133.767255,-84.522202,1,2733.722265,226.4837971
179,133.767255,-84.522202,2,10869.83332,226.4837971
180,133.767255,-84.522202,3,19107.00022,226.4837971
181,133.767255,-84.522202,4,36842.77748,226.4837971
182,133.767255,-84.522202,5,70673.49967,226.4837971
183,133.767255,-84.522202,6,95250.61019,226.4837971
184,133.767255,-84.522202,7,100019.0566,226.4837971
185,133.767255,-84.522202,8,106440.39,226.4837971
186,133.767255,-84.522202,9,103651.0007,226.4837971
187,133.767255,-84.522202,10,77850.44434,226.4837971
188,133.767255,-84.522202,11,77278.22168,226.4837971
189,133.767255,-84.522202,12,61501.27686,226.4837971
190,133.767255,-84.522202,13,42796.44474,226.4837971
191,133.767255,-84.522202,14,26368.05518,226.4837971
192,133.767255,-84.522202,15,38953.77852,226.4837971
193,133.8789,-84.7475,0,1267.777781,381.2796388
194,133.8789,-84.7475,1,971.6666641,381.2796388
195,133.8789,-84.7475,2,5170.833361,381.2796388
196,133.8789,-84.7475,3,15010.3888,381.2796388
197,133.8789,-84.7475,4,39170.33303,381.2796388
198,133.8789,-84.7475,5,77406.44238,381.2796388
199,133.8789,-84.7475,6,101802.0548,381.2796388
200,133.8789,-84.7475,7,108370.1111,381.2796388
201,133.8789,-84.7475,8,135422.1131,381.2796388
202,133.8789,-84.7475,9,149118.1089,381.2796388
203,133.8789,-84.7475,10,132930.6136,381.2796388
204,133.8789,-84.7475,11,150684.6637,381.2796388
205,133.8789,-84.7475,12,160596.837,381.2796388
206,133.8789,-84.7475,13,149633.3322,381.2796388
207,133.8789,-84.7475,14,109064.3876,381.2796388
208,133.8789,-84.7475,15,173644.3925,381.2796388
209,133.7275,-84.7408,0,1498.166636,502.8384285
210,133.7275,-84.7408,1,723.0000051,502.8384285
211,133.7275,-84.7408,2,4137.555511,502.8384285
212,133.7275,-84.7408,3,13795.3889,502.8384285
213,133.7275,-84.7408,4,48073.11182,502.8384285
214,133.7275,-84.7408,5,124095.7243,502.8384285
215,133.7275,-84.7408,6,198951.89,502.8384285
216,133.7275,-84.7408,7,233695.7188,502.8384285
217,133.7275,-84.7408,8,275416.3932,502.8384285
218,133.7275,-84.7408,9,273352.1641,502.8384285
219,133.7275,-84.7408,10,201341.3333,502.8384285
220,133.7275,-84.7408,11,187699.6654,502.8384285
221,133.7275,-84.7408,12,137847.1113,502.8384285
222,133.7275,-84.7408,13,78275.55534,502.8384285
223,133.7275,-84.7408,14,42378.88916,502.8384285
224,133.7275,-84.7408,15,43888.16659,502.8384285
225,134.0838,-84.5488,0,1721,330.4495335
226,134.0838,-84.5488,1,1095.888896,330.4495335
227,134.0838,-84.5488,2,5704.111104,330.4495335
228,134.0838,-84.5488,3,16409.61076,330.4495335
229,134.0838,-84.5488,4,45804.66699,330.4495335
230,134.0838,-84.5488,5,94777.05599,330.4495335
231,134.0838,-84.5488,6,132656.6094,330.4495335
232,134.0838,-84.5488,7,135784.6126,330.4495335
233,134.0838,-84.5488,8,153142.5553,330.4495335
234,134.0838,-84.5488,9,150379.6152,330.4495335
235,134.0838,-84.5488,10,111399.8314,330.4495335
236,134.0838,-84.5488,11,110839.3877,330.4495335
237,134.0838,-84.5488,12,90277.55501,330.4495335
238,134.0838,-84.5488,13,59893.49984,330.4495335
239,134.0838,-84.5488,14,36549.72209,330.4495335
240,134.0838,-84.5488,15,44559.22217,330.4495335
241,134.0651,-84.6274,0,1384.555562,370.830555
242,134.0651,-84.6274,1,660.8333333,370.830555
243,134.0651,-84.6274,2,3578.944509,370.830555
244,134.0651,-84.6274,3,15351.77758,370.830555
245,134.0651,-84.6274,4,40680.77795,370.830555
246,134.0651,-84.6274,5,92689.88997,370.830555
247,134.0651,-84.6274,6,136385.2233,370.830555
248,134.0651,-84.6274,7,161856.1113,370.830555
249,134.0651,-84.6274,8,197225.3333,370.830555
250,134.0651,-84.6274,9,206586.6094,370.830555
251,134.0651,-84.6274,10,158049.4974,370.830555
252,134.0651,-84.6274,11,151287.8906,370.830555
253,134.0651,-84.6274,12,111970.7214,370.830555
254,134.0651,-84.6274,13,70592.11198,370.830555
255,134.0651,-84.6274,14,43228.22135,370.830555
256,134.0651,-84.6274,15,46256.16699,370.830555
257,134.05106,-84.591809,0,2709.222178,396.9916668
258,134.05106,-84.591809,1,2181.666672,396.9916668
259,134.05106,-84.591809,2,12478.6109,396.9916668
260,134.05106,-84.591809,3,32054.83297,396.9916668
261,134.05106,-84.591809,4,71377.88916,396.9916668
262,134.05106,-84.591809,5,109538.501,396.9916668
263,134.05106,-84.591809,6,137638.2754,396.9916668
264,134.05106,-84.591809,7,158448.2233,396.9916668
265,134.05106,-84.591809,8,193154.7253,396.9916668
266,134.05106,-84.591809,9,204835.1673,396.9916668
267,134.05106,-84.591809,10,161523.2741,396.9916668
268,134.05106,-84.591809,11,159534.998,396.9916668
269,134.05106,-84.591809,12,133544.0557,396.9916668
270,134.05106,-84.591809,13,96445.22005,396.9916668
271,134.05106,-84.591809,14,59869.83447,396.9916668
272,134.05106,-84.591809,15,77490.05371,396.9916668
273,134.2389,-84.4689,0,1186.555537,356.7856426
274,134.2389,-84.4689,1,818.9444275,356.7856426
275,134.2389,-84.4689,2,3188.722229,356.7856426
276,134.2389,-84.4689,3,11028.88909,356.7856426
277,134.2389,-84.4689,4,30208.33295,356.7856426
278,134.2389,-84.4689,5,64574.94621,356.7856426
279,134.2389,-84.4689,6,75690.61182,356.7856426
280,134.2389,-84.4689,7,89976.72168,356.7856426
281,134.2389,-84.4689,8,121125.9434,356.7856426
282,134.2389,-84.4689,9,156748.9961,356.7856426
283,134.2389,-84.4689,10,136758.7751,356.7856426
284,134.2389,-84.4689,11,149402.3923,356.7856426
285,134.2389,-84.4689,12,134470.001,356.7856426
286,134.2389,-84.4689,13,101668.6665,356.7856426
287,134.2389,-84.4689,14,67799.38826,356.7856426
288,134.2389,-84.4689,15,90976.72314,356.7856426
289,133.91611,-84.48222,0,1276.944438,301.2240791
290,133.91611,-84.48222,1,467.8888868,301.2240791
291,133.91611,-84.48222,2,2747.944356,301.2240791
292,133.91611,-84.48222,3,6182.666768,301.2240791
293,133.91611,-84.48222,4,17344.111,301.2240791
294,133.91611,-84.48222,5,44194.5555,301.2240791
295,133.91611,-84.48222,6,83340.11133,301.2240791
296,133.91611,-84.48222,7,108761.8887,301.2240791
297,133.91611,-84.48222,8,143907.332,301.2240791
298,133.91611,-84.48222,9,165902.612,301.2240791
299,133.91611,-84.48222,10,144491.724,301.2240791
300,133.91611,-84.48222,11,155253.9987,301.2240791
301,133.91611,-84.48222,12,132091.666,301.2240791
302,133.91611,-84.48222,13,96388.49967,301.2240791
303,133.91611,-84.48222,14,62301.61068,301.2240791
304,133.91611,-84.48222,15,91220.38981,301.2240791
305,133.7726,-84.6177,0,854.9444275,261.6472244
306,133.7726,-84.6177,1,379.7222239,261.6472244
307,133.7726,-84.6177,2,2381.833293,261.6472244
308,133.7726,-84.6177,3,8244.000061,261.6472244
309,133.7726,-84.6177,4,26629.77773,261.6472244
310,133.7726,-84.6177,5,67414.72249,261.6472244
311,133.7726,-84.6177,6,107983.724,261.6472244
312,133.7726,-84.6177,7,122506.5531,261.6472244
313,133.7726,-84.6177,8,145201.3906,261.6472244
314,133.7726,-84.6177,9,164588.6693,261.6472244
315,133.7726,-84.6177,10,124533.668,261.6472244
316,133.7726,-84.6177,11,124701.3314,261.6472244
317,133.7726,-84.6177,12,88703.94401,261.6472244
318,133.7726,-84.6177,13,59860.88851,261.6472244
319,133.7726,-84.6177,14,40821.66634,261.6472244
320,133.7726,-84.6177,15,43783.83333,261.6472244
321,134.0368,-84.6833,0,1175.00001,357.6249924
322,134.0368,-84.6833,1,548.1666667,357.6249924
323,134.0368,-84.6833,2,3089.666738,357.6249924
324,134.0368,-84.6833,3,11808.49981,357.6249924
325,134.0368,-84.6833,4,32196.44454,357.6249924
326,134.0368,-84.6833,5,63537.72331,357.6249924
327,134.0368,-84.6833,6,94800.38997,357.6249924
328,134.0368,-84.6833,7,113252.334,357.6249924
329,134.0368,-84.6833,8,152743.9453,357.6249924
330,134.0368,-84.6833,9,176903.1706,357.6249924
331,134.0368,-84.6833,10,154688.6654,357.6249924
332,134.0368,-84.6833,11,161076.1654,357.6249924
333,134.0368,-84.6833,12,136907.0553,357.6249924
334,134.0368,-84.6833,13,103864.6663,357.6249924
335,134.0368,-84.6833,14,72374.61051,357.6249924
336,134.0368,-84.6833,15,105241.5568,357.6249924
337,134.170274,-84.548,0,705.8888753,253.432869
338,134.170274,-84.548,1,356.2222176,253.432869
339,134.170274,-84.548,2,2452.388898,253.432869
340,134.170274,-84.548,3,12141.99969,253.432869
341,134.170274,-84.548,4,42783.44495,253.432869
342,134.170274,-84.548,5,93272.11117,253.432869
343,134.170274,-84.548,6,132129.6673,253.432869
344,134.170274,-84.548,7,138537.778,253.432869
345,134.170274,-84.548,8,146562,253.432869
346,134.170274,-84.548,9,133397.9473,253.432869
347,134.170274,-84.548,10,94513.49935,253.432869
348,134.170274,-84.548,11,82628.7207,253.432869
349,134.170274,-84.548,12,54855.33341,253.432869
350,134.170274,-84.548,13,30744.66614,253.432869
351,134.170274,-84.548,14,16217.66665,253.432869
352,134.170274,-84.548,15,14891.05538,253.432869
353,133.776389,-84.383887,0,3540.22227,356.7805595
354,133.776389,-84.383887,1,3354.333272,356.7805595
355,133.776389,-84.383887,2,15757.77783,356.7805595
356,133.776389,-84.383887,3,40129.94499,356.7805595
357,133.776389,-84.383887,4,90086.44466,356.7805595
358,133.776389,-84.383887,5,147458.224,356.7805595
359,133.776389,-84.383887,6,167578.6133,356.7805595
360,133.776389,-84.383887,7,169930.2786,356.7805595
361,133.776389,-84.383887,8,173984.7214,356.7805595
362,133.776389,-84.383887,9,154061.5534,356.7805595
363,133.776389,-84.383887,10,120823.3337,356.7805595
364,133.776389,-84.383887,11,110833.0015,356.7805595
365,133.776389,-84.383887,12,72143.66618,356.7805595
366,133.776389,-84.383887,13,40008.5555,356.7805595
367,133.776389,-84.383887,14,21892.38851,356.7805595
368,133.776389,-84.383887,15,22017.94425,356.7805595
369,133.852585,-84.362243,0,2043.166646,427.5976868
370,133.852585,-84.362243,1,971.1666667,427.5976868
371,133.852585,-84.362243,2,5676.888916,427.5976868
372,133.852585,-84.362243,3,17657.00016,427.5976868
373,133.852585,-84.362243,4,50945.99967,427.5976868
374,133.852585,-84.362243,5,102635.9453,427.5976868
375,133.852585,-84.362243,6,156454.2201,427.5976868
376,133.852585,-84.362243,7,180641.3294,427.5976868
377,133.852585,-84.362243,8,209385.612,427.5976868
378,133.852585,-84.362243,9,202059,427.5976868
379,133.852585,-84.362243,10,159903.0547,427.5976868
380,133.852585,-84.362243,11,158040.3333,427.5976868
381,133.852585,-84.362243,12,117218.9466,427.5976868
382,133.852585,-84.362243,13,72559.27702,427.5976868
383,133.852585,-84.362243,14,43745.11149,427.5976868
384,133.852585,-84.362243,15,52938.55729,427.5976868
385,133.844024,-84.307696,0,984.8888804,329.7097259
386,133.844024,-84.307696,1,222.6666705,329.7097259
387,133.844024,-84.307696,2,1597.444438,329.7097259
388,133.844024,-84.307696,3,4652.77773,329.7097259
389,133.844024,-84.307696,4,8489.499837,329.7097259
390,133.844024,-84.307696,5,25665.77767,329.7097259
391,133.844024,-84.307696,6,47751.94401,329.7097259
392,133.844024,-84.307696,7,69734.55599,329.7097259
393,133.844024,-84.307696,8,106108.1644,329.7097259
394,133.844024,-84.307696,9,144145.9993,329.7097259
395,133.844024,-84.307696,10,136855.7762,329.7097259
396,133.844024,-84.307696,11,154397.8309,329.7097259
397,133.844024,-84.307696,12,142926.7756,329.7097259
398,133.844024,-84.307696,13,109542.0539,329.7097259
399,133.844024,-84.307696,14,74719.72286,329.7097259
400,133.844024,-84.307696,15,111743.3885,329.7097259
401,133.843013,-84.323772,0,1651.333333,237.3810177
402,133.843013,-84.323772,1,1119.66669,237.3810177
403,133.843013,-84.323772,2,4010.777842,237.3810177
404,133.843013,-84.323772,3,7833.444458,237.3810177
405,133.843013,-84.323772,4,19171.111,237.3810177
406,133.843013,-84.323772,5,52459.55534,237.3810177
407,133.843013,-84.323772,6,99138.16732,237.3810177
